time_ps,mindist_nm
0.000000e+00,1.327140e-01
1.000000e+01,1.350851e-01
2.000000e+01,1.337497e-01
3.000000e+01,1.342125e-01
4.000000e+01,1.344841e-01
5.000000e+01,1.315179e-01
6.000000e+01,1.312287e-01
7.000000e+01,1.347998e-01
8.000000e+01,1.345696e-01
9.000000e+01,1.341529e-01
1.000000e+02,1.333416e-01
1.100000e+02,1.322838e-01
1.200000e+02,1.303266e-01
1.300000e+02,1.315976e-01
1.400000e+02,1.325971e-01
1.500000e+02,1.323744e-01
1.600000e+02,1.291433e-01
1.700000e+02,1.308624e-01
1.800000e+02,1.353403e-01
1.900000e+02,1.348297e-01
2.000000e+02,1.325970e-01
2.100000e+02,1.307553e-01
2.200000e+02,1.344506e-01
2.300000e+02,1.335477e-01
2.400000e+02,1.300384e-01
2.500000e+02,1.341417e-01
2.600000e+02,1.321402e-01
2.700000e+02,1.336751e-01
2.800000e+02,1.325368e-01
2.900000e+02,1.300539e-01
3.000000e+02,1.300963e-01
3.100000e+02,1.301117e-01
3.200000e+02,1.289884e-01
3.300000e+02,1.288604e-01
3.400000e+02,1.329134e-01
3.500000e+02,1.301306e-01
3.600000e+02,1.346626e-01
3.700000e+02,1.325972e-01
3.800000e+02,1.360147e-01
3.900000e+02,1.338807e-01
4.000000e+02,1.327593e-01
4.100000e+02,1.341567e-01
4.200000e+02,1.308816e-01
4.300000e+02,1.296880e-01
4.400000e+02,1.306943e-01
4.500000e+02,1.321138e-01
4.600000e+02,1.269015e-01
4.700000e+02,1.348553e-01
4.800000e+02,1.293483e-01
4.900000e+02,1.321439e-01
5.000000e+02,1.334653e-01
5.100000e+02,1.317688e-01
5.200000e+02,1.315979e-01
5.300000e+02,1.326988e-01
5.400000e+02,1.304070e-01
5.500000e+02,1.317459e-01
5.600000e+02,1.311220e-01
5.700000e+02,1.307020e-01
5.800000e+02,1.316207e-01
5.900000e+02,1.334765e-01
6.000000e+02,1.314877e-01
6.100000e+02,1.310572e-01
6.200000e+02,1.338357e-01
6.300000e+02,1.301269e-01
6.400000e+02,1.341975e-01
6.500000e+02,1.306176e-01
6.600000e+02,1.304685e-01
6.700000e+02,1.317460e-01
6.800000e+02,1.340484e-01
6.900000e+02,1.320984e-01
7.000000e+02,1.311640e-01
7.100000e+02,1.333004e-01
7.200000e+02,1.316587e-01
7.300000e+02,1.358161e-01
7.400000e+02,1.328383e-01
7.500000e+02,1.315522e-01
7.600000e+02,1.313048e-01
7.700000e+02,1.324915e-01
7.800000e+02,1.372589e-01
7.900000e+02,1.327326e-01
8.000000e+02,1.328307e-01
8.100000e+02,1.339440e-01
8.200000e+02,1.305794e-01
8.300000e+02,1.334655e-01
8.400000e+02,1.340560e-01
8.500000e+02,1.351334e-01
8.600000e+02,1.320040e-01
8.700000e+02,1.318711e-01
8.800000e+02,1.326234e-01
8.900000e+02,1.358418e-01
9.000000e+02,1.325254e-01
9.100000e+02,1.311106e-01
9.200000e+02,1.337796e-01
9.300000e+02,1.342722e-01
9.400000e+02,1.295762e-01
9.500000e+02,1.314876e-01
9.600000e+02,1.329134e-01
9.700000e+02,1.359633e-01
9.800000e+02,1.317195e-01
9.900000e+02,1.346255e-01
1.000000e+03,1.321628e-01
1.010000e+03,1.348000e-01
1.020000e+03,1.349407e-01
1.030000e+03,1.340521e-01
1.040000e+03,1.308931e-01
1.050000e+03,1.354178e-01
1.060000e+03,1.347999e-01
1.070000e+03,1.332442e-01
1.080000e+03,1.314875e-01
1.090000e+03,1.324690e-01
1.100000e+03,1.324538e-01
1.110000e+03,1.346180e-01
1.120000e+03,1.328682e-01
1.130000e+03,1.314042e-01
1.140000e+03,1.292169e-01
1.150000e+03,1.321097e-01
1.160000e+03,1.318561e-01
1.170000e+03,1.325594e-01
1.180000e+03,1.343653e-01
1.190000e+03,1.376408e-01
1.200000e+03,1.337983e-01
1.210000e+03,1.331202e-01
1.220000e+03,1.334952e-01
1.230000e+03,1.327481e-01
1.240000e+03,1.306370e-01
1.250000e+03,1.321400e-01
1.260000e+03,1.312290e-01
1.270000e+03,1.341753e-01
1.280000e+03,1.312134e-01
1.290000e+03,1.320492e-01
1.300000e+03,1.306215e-01
1.310000e+03,1.338247e-01
1.320000e+03,1.312481e-01
1.330000e+03,1.342945e-01
1.340000e+03,1.315902e-01
1.350000e+03,1.354916e-01
1.360000e+03,1.323819e-01
1.370000e+03,1.341826e-01
1.380000e+03,1.347069e-01
1.390000e+03,1.316094e-01
1.400000e+03,1.306522e-01
1.410000e+03,1.323331e-01
1.420000e+03,1.323935e-01
1.430000e+03,1.333079e-01
1.440000e+03,1.327590e-01
1.450000e+03,1.313545e-01
1.460000e+03,1.329247e-01
1.470000e+03,1.330037e-01
1.480000e+03,1.366565e-01
1.490000e+03,1.315028e-01
1.500000e+03,1.308512e-01
1.510000e+03,1.352368e-01
1.520000e+03,1.308358e-01
1.530000e+03,1.317879e-01
1.540000e+03,1.332894e-01
1.550000e+03,1.327592e-01
1.560000e+03,1.343950e-01
1.570000e+03,1.294411e-01
1.580000e+03,1.324122e-01
1.590000e+03,1.325634e-01
1.600000e+03,1.332066e-01
1.610000e+03,1.324954e-01
1.620000e+03,1.311564e-01
